#Top: top_wrapper   Floorplan: impl_1   Part: xc7a200tlffg1156-2L
#Generated by: berkb   on: Fri Aug 23 12:15:25 2024
#Build: Vivado v2020.1   by: xbuild   on: Wed May 27 19:54:35 MDT 2020
#Package Version: FINAL 2012-08-07
#Package Pin Delay Version: VERS. 2.0 2012-08-07

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Voh,DC_BIAS,Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
32,AM4,IOB_X1Y29,IO_L10N_T1_32,153.727,155.272,,,IO_I[7],IN,,,LVCMOS18,,,,,,,,,,,,,,,
32,AL5,IOB_X1Y28,IO_L11P_T1_SRCC_32,137.508,138.890,,,IO_I[6],IN,,,LVCMOS18,,,,,,,,,,,,,,,
34,Y11,IOB_X1Y149,IO_0_34,104.846,105.900,,,IO_I[5],IN,,,LVCMOS18,,,,,,,,,,,,,,,
33,AH2,IOB_X1Y94,IO_L3P_T0_DQS_33,164.848,166.504,,,IO_I[4],IN,,,LVCMOS18,,,,,,,,,,,,,,,
33,AJ1,IOB_X1Y93,IO_L3N_T0_DQS_33,165.729,167.395,,,IO_I[3],IN,,,LVCMOS18,,,,,,,,,,,,,,,
32,AM5,IOB_X1Y27,IO_L11N_T1_SRCC_32,141.677,143.101,,,IO_I[2],IN,,,LVCMOS18,,,,,,,,,,,,,,,
32,AJ6,IOB_X1Y26,IO_L12P_T1_MRCC_32,132.139,133.467,,,IO_I[1],IN,,,LVCMOS18,,,,,,,,,,,,,,,
32,AK6,IOB_X1Y25,IO_L12N_T1_MRCC_32,134.115,135.463,,,IO_I[0],IN,,,LVCMOS18,,,,,,,,,,,,,,,
36,K12,IOB_X1Y247,IO_L1N_T0_36,62.787,63.418,,,IO_O[7],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
36,G10,IOB_X1Y246,IO_L2P_T0_36,86.090,86.956,,,IO_O[6],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
36,G9,IOB_X1Y245,IO_L2N_T0_36,96.197,97.164,,,IO_O[5],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
36,K11,IOB_X1Y244,IO_L3P_T0_DQS_36,62.676,63.306,,,IO_O[4],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
36,J11,IOB_X1Y243,IO_L3N_T0_DQS_36,63.333,63.970,,,IO_O[3],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
36,H11,IOB_X1Y242,IO_L4P_T0_36,67.081,67.756,,,IO_O[2],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
36,G11,IOB_X1Y241,IO_L4N_T0_36,79.476,80.275,,,IO_O[1],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
36,L10,IOB_X1Y240,IO_L5P_T0_36,62.045,62.669,,,IO_O[0],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,W9,IOB_X1Y144,IO_L3P_T0_DQS_34,73.840,74.582,,,buf_rd_address[39],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,W8,IOB_X1Y143,IO_L3N_T0_DQS_34,75.809,76.571,,,buf_rd_address[38],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,V7,IOB_X1Y142,IO_L4P_T0_34,77.454,78.233,,,buf_rd_address[37],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
35,T9,IOB_X1Y151,IO_L24N_T3_35,57.519,58.098,,,buf_rd_address[36],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
35,U11,IOB_X1Y150,IO_25_35,53.834,54.375,,,buf_rd_address[35],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,V6,IOB_X1Y141,IO_L4N_T0_34,88.278,89.166,,,buf_rd_address[34],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,Y8,IOB_X1Y140,IO_L5P_T0_34,76.261,77.028,,,buf_rd_address[33],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,Y7,IOB_X1Y139,IO_L5N_T0_34,86.678,87.549,,,buf_rd_address[32],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,W6,IOB_X1Y138,IO_L6P_T0_34,86.076,86.941,,,buf_rd_address[31],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,Y6,IOB_X1Y137,IO_L6N_T0_VREF_34,93.569,94.509,,,buf_rd_address[30],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,W1,IOB_X1Y136,IO_L7P_T1_34,137.821,139.207,,,buf_rd_address[29],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,Y1,IOB_X1Y135,IO_L7N_T1_34,149.934,151.440,,,buf_rd_address[28],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,V2,IOB_X1Y134,IO_L8P_T1_34,123.153,124.391,,,buf_rd_address[27],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,V1,IOB_X1Y133,IO_L8N_T1_34,135.109,136.467,,,buf_rd_address[26],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,Y3,IOB_X1Y132,IO_L9P_T1_DQS_34,139.662,141.066,,,buf_rd_address[25],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,Y2,IOB_X1Y131,IO_L9N_T1_DQS_34,142.096,143.524,,,buf_rd_address[24],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,V3,IOB_X1Y130,IO_L10P_T1_34,118.418,119.608,,,buf_rd_address[23],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,W3,IOB_X1Y129,IO_L10N_T1_34,118.509,119.701,,,buf_rd_address[22],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,W4,IOB_X1Y127,IO_L11N_T1_SRCC_34,119.233,120.431,,,buf_rd_address[21],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,W5,IOB_X1Y126,IO_L12P_T1_MRCC_34,118.064,119.250,,,buf_rd_address[20],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,Y5,IOB_X1Y125,IO_L12N_T1_MRCC_34,117.886,119.070,,,buf_rd_address[19],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,AA5,IOB_X1Y124,IO_L13P_T2_MRCC_34,102.026,103.052,,,buf_rd_address[18],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
34,AA4,IOB_X1Y123,IO_L13N_T2_MRCC_34,105.415,106.475,,,buf_rd_address[17],OUT,,,LVCMOS18,12,,,SLOW,,,,,,,,,FP_VTT_50,,
